	Acrythosiphon_pisum	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Drosophila_melanogaster	Musca_domestica	Nasionia_vitripennis
Acrythosiphon_pisum	0.0	3636.0	4714.0	4203.0	3042.0	6011.0	3961.0
Apis_mellifera	4898.0	0.0	5934.0	5092.0	2860.0	6829.0	3599.0
Bombus_terrestris	4506.0	4460.0	0.0	5029.0	2878.0	6434.0	3746.0
Ceratina_calcarata	4914.0	4695.0	6020.0	0.0	3151.0	6967.0	3962.0
Drosophila_melanogaster	6342.0	5539.0	6598.0	5833.0	0.0	10766.0	4725.0
Musca_domestica	2890.0	2466.0	3083.0	2684.0	2620.0	0.0	2179.0
Nasionia_vitripennis	6889.0	6255.0	7919.0	6870.0	3895.0	9160.0	0.0
