	Acrythosiphon_pisum	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Drosophila_melanogaster	Musca_domestica	Nasionia_vitripennis
Acrythosiphon_pisum	0.0	1494.0	1404.0	1557.0	2004.0	988.0	1722.0
Apis_mellifera	1230.0	0.0	1530.0	1663.0	1872.0	859.0	1785.0
Bombus_terrestris	1425.0	1918.0	0.0	1965.0	2099.0	1023.0	2086.0
Ceratina_calcarata	1302.0	1671.0	1654.0	0.0	1880.0	895.0	1845.0
Drosophila_melanogaster	945.0	953.0	927.0	1037.0	0.0	901.0	1086.0
Musca_domestica	1824.0	1939.0	1879.0	2065.0	3514.0	0.0	2193.0
Nasionia_vitripennis	1128.0	1268.0	1254.0	1346.0	1609.0	739.0	0.0
