	Acrythosiphon_pisum	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Drosophila_melanogaster	Musca_domestica	Nasionia_vitripennis
Acrythosiphon_pisum	0.0	2051.0	2185.0	2004.0	1378.0	2420.0	1769.0
Apis_mellifera	2051.0	0.0	4011.0	3512.0	1573.0	2571.0	2451.0
Bombus_terrestris	2185.0	4011.0	0.0	3560.0	1601.0	2688.0	2492.0
Ceratina_calcarata	2004.0	3512.0	3560.0	0.0	1477.0	2472.0	2368.0
Drosophila_melanogaster	1378.0	1573.0	1601.0	1477.0	0.0	3000.0	1393.0
Musca_domestica	2420.0	2571.0	2688.0	2472.0	3000.0	0.0	2242.0
Nasionia_vitripennis	1769.0	2451.0	2492.0	2368.0	1393.0	2242.0	0.0
